frequency_ghz,real,imag,magnitude
6.0,-0.00048198559670710987,0.1688461750745773,0.16884686300737198
6.018,0.0031223282576794643,0.17264869060485777,0.17267692173918495
6.036,0.006928455886506821,0.17645254627194984,0.17658851770946454
6.054,0.010943282528739851,0.1802505867218874,0.1805824726990094
6.072,0.015173660264123711,0.18403503705735028,0.18465951053360705
6.09,0.019626370854417454,0.187797472344313,0.18882024534415828
6.108,0.024308084139433483,0.19152878780837743,0.1930651690851466
6.126,0.029225311719828145,0.19521917013962375,0.19739463831402437
6.144,0.03438435568057574,0.19885807038674444,0.20180886024530179
6.162,0.03979125213320021,0.2024341789858983,0.2063078781046003
6.18,0.04545170939484469,0.20593540353538534,0.21089155582003613
6.198,0.051371040667019016,0.20934884999779726,0.2155595621043352
6.216,0.057554091140909557,0.21266080808089347,0.2203113539985507
6.234,0.06400515952962398,0.21585674161701524,0.22514615996709225
6.252,0.07072791411671529,0.21892128482678047,0.2300629626548128
6.27,0.07772530352088604,0.2218382454129474,0.2350604814410728
6.288,0.08499946249453885,0.22459061548224482,0.2401371549491125
6.306,0.09255161322342895,0.22716059133408026,0.2452911236989798
6.324,0.10038196274520059,0.22952960317792795,0.25052021311582007
6.342,0.10848959728903854,0.23167835584837454,0.2558219171387468
6.36,0.1168723745244341,0.23358688156558374,0.26119338270046893
6.378,0.12552681491666992,0.23523460574235172,0.2666313953792455
6.396,0.13444799359814522,0.2366004267578579,0.27213236655085216
6.414,0.14362943438706885,0.23766281049587862,0.27769232239143604
6.432,0.1530630078050181,0.23839990028651956,0.283306895106599
6.45,0.16273883515181642,0.23878964267929315,0.2889713167729188
6.468,0.17264520089676919,0.23880992922223207,0.29468041619322666
6.486,0.18276847581104472,0.23843875411306922,0.30042861916482777
6.504,0.19309305339432206,0.23765438723772775,0.306209952552954
6.522,0.2036013022381858,0.23643556170916097,0.3120180525447391
6.54,0.2142735369836098,0.234761674583716,0.31784617742678134
6.558,0.22508801048386148,0.23261299895858606,0.3236872251851934
6.576,0.2360209296493243,0.22997090516889482,0.3295337561718558
6.594,0.247046497225331,0.22681808830336445,0.3353780210045052
6.612,0.25813698143044705,0.22313879877991102,0.3412119937853366
6.63,0.2692628149582049,0.21891907227018448,0.34702741062177606
6.648,0.28039272431750845,0.21414695486905783,0.3528158133217452
6.666,0.2914938898680813,0.20881271908630344,0.35856859801527596
6.684,0.3025321362024592,0.2029090660213381,0.3642770683269468
6.702,0.31347215175628607,0.19643130898475686,0.3699324925931501
6.72,0.32427773571407925,0.1893775338746138,0.3755261644896142
6.7379999999999995,0.33491206944739743,0.1817487318112964,0.38104946631185943
6.756,0.3453380089065572,0.1735488998935427,0.3864939340401144
6.774,0.3555183936205576,0.16478510645794756,0.39185132322463684
6.792,0.36541636727868176,0.1554675179001905,0.3971136746539894
6.81,0.37499570430389584,0.14560938493144554,0.4022733787196075
6.828,0.3842211364157083,0.13522698707566524,0.40732323737069126
6.846,0.3930586729433349,0.12433953523042218,0.41225652256488665
6.864,0.4014759086080941,0.11296903317891004,0.41706703016430396
6.882,0.4094423126569297,0.10114010001380642,0.4217491283033763
6.9,0.41692949359683906,0.08887975646603603,0.42629779936140716
6.918,0.4239114343431557,0.07621717908784668,0.4307086748081358
6.936,0.43036469333298083,0.06318342707013344,0.43497806234788156
6.954,0.43626856803894015,0.049811147153378206,0.43910296496321094
6.9719999999999995,0.4416052183136573,0.03613426258438272,0.4430810916461794
6.99,0.4463597480576957,0.0221876523649669,0.446910859795998
7.008,0.4505202447916033,0.008006827122484543,0.45059138945130267
7.026,0.4540777777804085,-0.006372392190442861,0.4541224897053909
7.044,0.45702635636476585,-0.020914186877043012,0.4575046378177841
7.061999999999999,0.459362851061613,-0.035583038959572585,0.46073895168202583
7.08,0.46108688077455395,-0.05034401076196995,0.4638271564300748
7.098,0.46220067008286503,-0.06516300159967787,0.46677154605066606
7.116,0.4627088810391477,-0.08000697838860797,0.46957494096616287
7.134,0.46261842419508165,-0.09484417785378213,0.4722406425515495
7.152,0.46193825370131014,-0.10964427888531685,0.4747723855964004
7.17,0.46067915128519804,-0.12437854443850643,0.4771742896945433
7.188,0.45885350373938416,-0.13901993315737687,0.47945081052073585
7.2059999999999995,0.4564750782481413,-0.15354318162049768,0.4816066919009659
7.224,0.45355879948259,-0.16792485872354637,0.4836469195243688
7.242,0.4501205319145094,-0.18214339423381637,0.48557667706966356
7.26,0.44617687028371744,-0.19617908396539985,0.48740130545750143
7.278,0.44174494058508734,-0.21001407432813254,0.4891262658541501
7.295999999999999,0.43684221338420587,-0.22363232922230583,0.4907571069967361
7.314,0.43148633071893233,-0.23701958236550205,0.4922994373569859
7.332,0.42569494729331336,-0.25016327819037754,0.4937589026093738
7.35,0.4194855861814588,-0.2630525044513331,0.4951411688721922
7.368,0.4128755087740485,-0.27567791960755866,0.496451912177384
7.386,0.4058815982713225,-0.28803167800536217,0.49769681468728316
7.404,0.3985202556175943,-0.3001073557889924,0.4988815682465865
7.422,0.390807306386243,-0.31189988043220923,0.5000118859972204
7.4399999999999995,0.3827579167553895,-0.32340546677749854,0.5010935229879722
7.458,0.3743865163193243,-0.3346215625452994,0.5021323069888826
7.476,0.3657067250565917,-0.34554680646308317,0.5031341811171778
7.494,0.3567312812709654,-0.3561810025113631,0.5041052604240748
7.512,0.3474719666798098,-0.36652511434304363,0.5050519053251022
7.529999999999999,0.3379395239817387,-0.3765812848025884,0.505980815775235
7.548,0.32814356106689535,-0.38635288674509216,0.5068991514748563
7.566,0.3180924344045797,-0.3958446132258661,0.5078146853384288
7.584,0.307793101773353,-0.40506261784113234,0.5087360001725579
7.602,0.2972509310707114,-0.41401471990224714,0.5096727423731241
7.62,0.28646944681976855,-0.4227106948561356,0.5106359520313676
7.638,0.2754499883063996,-0.4311626787403461,0.5116384969844886
7.656,0.26419124145161227,-0.43938572796890085,0.5126956504618554
7.6739999999999995,0.2526885880665102,-0.44739859467386334,0.5138258703638756
7.692,0.24093318659531995,-0.45522480690242073,0.5150518665361009
