frequency_ghz,real,imag,magnitude
6.0,-0.0016457069432362916,0.005866050720214844,0.006092528407414218
6.018,-0.0015634182427323076,0.006028544410308084,0.006227971122987406
6.036,-0.0014745072384322305,0.006193176570141398,0.006366286800414934
6.054,-0.001378670901639318,0.00635978092368479,0.006507499277932494
6.072,-0.001275601150939976,0.0065281699249288856,0.006651628437084066
6.09,-0.0011649858474632366,0.006698133366837951,0.006798689772650135
6.108,-0.001046509950701808,0.006869436977516581,0.006948693939510506
6.126,-0.0009198568472655914,0.007041821016450591,0.007101646277250553
6.144,-0.0007847098646219225,0.007214998885942298,0.007257546313719504
6.162,-0.0006407539813081914,0.007388655775286674,0.007416387249209647
6.18,-0.0004876777441660816,0.007562447357808331,0.007578155423437627
6.198,-0.0003251754018469504,0.007735998563569707,0.00774282976808343
6.216,-0.0001529492620823206,0.007908902453318845,0.007910381248263852
6.234,2.928772203098789e-05,0.00808071922203543,0.008080772297004456
6.252,0.00022180913426339291,0.00825097536317139,0.008253956247503613
6.27,0.00042487204691872636,0.00841916302728331,0.00842987676874503
6.288,0.0006387137468366809,0.008584739611151122,0.008608467310832124
6.306,0.0008635482452876453,0.008747127615511968,0.008789650567229135
6.324,0.0010995625866036336,0.00890571481111991,0.008973337961921362
6.342,0.0013469129763280469,0.009059854753813063,0.00915942917031351
6.36,0.0016057207562005123,0.009208867689475857,0.009347811683445787
6.378,0.0018760682603471777,0.009352041889074238,0.009538360425800722
6.396,0.002157994594535601,0.009488635452145436,0.009730937437562533
6.414,0.0024514913881095984,0.009617878614094412,0.00992539163264756
6.432,0.0027564985760736606,0.009738976588229226,0.010121558644100873
6.45,0.003072900276517398,0.009851112967545513,0.01031926076852233
6.468,0.0034005208358730077,0.009953453703764308,0.010518307021007986
6.486,0.0037391211211178646,0.010045151671966757,0.010718493311618301
6.504,0.0040883951435641275,0.01012535181840957,0.010919602753602748
6.522,0.004447967103024243,0.010193196876785587,0.01112140611247055
6.54,0.004817388943494676,0.010247833624502847,0.01132366240349808
6.558,0.005196138511701177,0.010288419635734618,0.011526119643390563
6.576,0.005583618407580217,0.010314130472361046,0.011728515759564606
